Car Name,Car Price,City,Model Year,Used KM,Fuel Type,CC,Type of Vehicle
Honda Civic Rebirth 2016 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 36.5lacs,Karachi,2016,"81,000 km",Petrol,1800 cc,Automatic
Daihatsu Move  2022 X SA 2 for Sale,PKR 36lacs,Karachi,2022,"55,000 km",Petrol,658 cc,Automatic
Suzuki Alto  2013 E Manual for Sale,PKR 20.9lacs,Islamabad,2013,"83,000 km",Petrol,660 cc,Manual
Honda Civic  2009 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 24.5lacs,Islamabad,2009,"185,000 km",Petrol,1800 cc,Automatic
Honda Civic  2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 41lacs,Pir mahal,2015,"175,000 km",Petrol,1800 cc,Automatic
Suzuki Cultus  2011 VXRi for Sale,PKR 12.5lacs,Karachi,2011,"65,000 km",Petrol,1000 cc,Manual
Daihatsu Rocky  2020 Premium G for Sale,PKR 59.5lacs,Rawalpindi,2020,"47,000 km",Petrol,1000 cc,Automatic
Toyota Corolla  2014 XLi VVTi for Sale,PKR 32.6lacs,Rawalpindi,2014,"200,000 km",Petrol,1300 cc,Manual
Suzuki Cultus  2006 VXR for Sale,PKR 8.25lacs,Lahore,2006,"130,000 km",Petrol,1000 cc,Manual
Haval Jolion  2024 1.5T for Sale,PKR 83lacs,Lahore,2024,"24,096 km",Petrol,1500 cc,Automatic
Toyota Yaris Sedan  2020 ATIV MT 1.3 for Sale,PKR 37.8lacs,Multan,2020,"69,000 km",Petrol,1300 cc,Manual
Toyota Corolla  2014 GLi 1.3 VVTi for Sale,PKR 37.25lacs,Lahore,2014,"122,906 km",Petrol,1300 cc,Manual
Toyota Corolla  2012  for Sale,PKR 42.8lacs,Rawalpindi,2012,"112,000 km",Hybrid,1800 cc,Automatic
Suzuki Alto  2021 VXR for Sale,PKR 25.1lacs,Islamabad,2021,"75,000 km",Petrol,660 cc,Manual
Honda Vezel  2017  for Sale,PKR 57.75lacs,Okara,2017,"75,000 km",Hybrid,1500 cc,Automatic
Toyota Camry  2014  for Sale,PKR 80lacs,Islamabad,2014,"98,000 km",Hybrid,2700 cc,Automatic
Daihatsu Mira  2015 X Memorial Edition for Sale,PKR 24.8lacs,Karachi,2015,"99,000 km",Petrol,660 cc,Automatic
MG HS  2022 PHEV for Sale,PKR 89lacs,Lahore,2022,"63,000 km",Petrol,1500 cc,Automatic
Toyota Aqua  2015  for Sale,PKR 44.25lacs,Islamabad,2015,"115,000 km",Hybrid,1500 cc,Automatic
Toyota Porte  2006 130I for Sale,PKR 20lacs,Lahore,2006,"86,000 km",Petrol,1300 cc,Automatic
Hyundai Tucson  2021 FWD A/T GLS Sport for Sale,PKR 69lacs,Islamabad,2021,"89,000 km",Petrol,2000 cc,Automatic
Suzuki Alto  2022  for Sale,PKR 23.75lacs,Karachi,2022,"75,000 km",Petrol,660 cc,Manual
Honda Civic Rebirth 2016 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 40.5lacs,Rawalpindi,2016,"106,000 km",Petrol,1800 cc,Automatic
Honda N Wgn  2022 G for Sale,PKR 35.25lacs,Lahore,2022,"74,000 km",Petrol,660 cc,Automatic
Suzuki Cultus  2022 VXR for Sale,PKR 36.2lacs,Lahore,2022,"15,000 km",Petrol,1000 cc,Manual
Suzuki Alto  2022 VXL AGS for Sale,PKR 27.75lacs,Karachi,2022,"30,000 km",Petrol,660 cc,Automatic
Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 53.95lacs,Islamabad,2020,"74,000 km",Petrol,1800 cc,Automatic
BAIC BJ40  2022 Exclusive for Sale,PKR 79.95lacs,Islamabad,2022,"43,000 km",Petrol,2000 cc,Automatic
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC for Sale,PKR 38.75lacs,Lahore,2019,"34,650 km",Petrol,1300 cc,Manual
Toyota Prado  2020 TX Limited 2.7 for Sale,PKR 3.15crore,Lahore,2020,"29,000 km",Petrol,2700 cc,Automatic
Toyota Corolla 9th (E120) Generation 2006 XLi for Sale,PKR 17.2lacs,Islamabad,2006,"282,657 km",Petrol,1300 cc,Manual
Suzuki Alto  2014 ECO-L for Sale,PKR 21.5lacs,Karachi,2014,"87,000 km",Petrol,660 cc,Automatic
Haval H6  2024 HEV for Sale,PKR 1.18crore,Lahore,2024,"2,600 km",Hybrid,1500 cc,Automatic
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 51.85lacs,Rawalpindi,2018,"107,000 km",Petrol,1800 cc,Automatic
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 68lacs,Lahore,2021,"54,000 km",Petrol,1800 cc,Automatic
Haval H6  2025 1.5T for Sale,PKR 94.5lacs,Lahore,2025,"7,000 km",Petrol,1500 cc,Automatic
Honda Civic Rebirth 2016 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 40.5lacs,Rawalpindi,2016,"106,000 km",Petrol,1800 cc,Automatic
Honda N Wgn  2022 G for Sale,PKR 35.25lacs,Lahore,2022,"74,000 km",Petrol,660 cc,Automatic
Toyota Corolla  2011 GLi 1.3 VVTi for Sale,PKR 29.5lacs,Rawalpindi,2011,"181,000 km",Petrol,1300 cc,Manual
Honda Civic  2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 31.8lacs,Islamabad,2011,"85,000 km",Petrol,1800 cc,Automatic
Toyota Sprinter  1986 250L for Sale,PKR 12lacs,Islamabad,1986,1 km,Petrol,1300 cc,Manual
Toyota Passo  2008 G 1.0 for Sale,PKR 16.5lacs,Karachi,2008,"150,000 km",Petrol,1000 cc,Automatic
Suzuki Alto  2018 X for Sale,PKR 28lacs,Karachi,2018,"58,000 km",Petrol,660 cc,Automatic
Nissan 350Z  2005  for Sale,PKR 1.27crore,Lahore,2005,"90,000 km",Petrol,3500 cc,Automatic
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 55.75lacs,Faisalabad,2018,"63,842 km",Petrol,1800 cc,Automatic
Suzuki Wagon R  2024 FA for Sale,PKR 39lacs,Faisalabad,2024,715 km,Petrol,660 cc,Automatic
Toyota Aqua  2015 S for Sale,PKR 44.75lacs,Islamabad,2015,"110,000 km",Hybrid,1500 cc,Automatic
Toyota Yaris Sedan  2025 GLI MT 1.3 for Sale,PKR 48.5lacs,Multan,2025,"3,700 km",Petrol,1300 cc,Manual
Toyota Yaris Sedan  2021 GLI CVT 1.3 for Sale,PKR 47lacs,Islamabad,2021,"24,189 km",Petrol,1300 cc,Automatic
Suzuki Cultus  2007 VXRi for Sale,PKR 9lacs,Faisalabad,2007,"200,000 km",Petrol,1000 cc,Manual
Toyota Corolla  2018 Altis Automatic 1.6 for Sale,PKR 49.9lacs,Rawalpindi,2018,"49,000 km",Petrol,1600 cc,Automatic
Suzuki Alto  2008 VXR for Sale,PKR 9.95lacs,Lahore,2008,"100,000 km",Petrol,1000 cc,Manual
Suzuki Cultus  2013  for Sale,PKR 17.95lacs,Islamabad,2013,"124,000 km",Petrol,1000 cc,Manual
Toyota Hilux  2012 D-4D Automatic for Sale,PKR 57.5lacs,Sialkot,2012,"85,214 km",Diesel,3000 cc,Automatic
Suzuki Mehran  2015 VXR Euro II for Sale,PKR 10.25lacs,Karachi,2015,"89,495 km",Petrol,796 cc,Manual
